category,top_keys
財經特派,"[('台股', 184), ('關稅', 163), ('市場', 162), ('營收', 149), ('美國', 102), ('台積電', 100), ('台灣', 86), ('公司', 77), ('政策', 70), ('淨利', 68), ('川普', 60), ('全球', 53), ('指數', 50), ('投資人', 46), ('股市', 46), ('銀行', 46), ('基金', 45), ('股價', 44), ('資金', 43), ('新台幣', 43), ('中國', 41), ('國際', 40), ('漲幅', 40), ('方面', 37), ('產品', 37), ('外資', 36), ('國安', 34), ('新高', 33), ('整體', 33), ('股票', 31), ('金額', 30), ('美股', 30), ('歷史', 30), ('產業', 29), ('需求', 29), ('企業', 29), ('美元', 29), ('價格', 28), ('經濟', 28), ('交易', 28), ('股息', 27), ('鴻海', 27), ('證券', 27), ('融資', 26), ('預售屋', 26), ('短線', 25), ('成交量', 25), ('影響', 24), ('風險', 24), ('業務', 24), ('單價', 23), ('個股', 22), ('期間', 22), ('投信', 22), ('總統', 22), ('集團', 22), ('統計', 21), ('大關', 21), ('航空', 21), ('規模', 20), ('股東', 20), ('台北', 20), ('貿易', 20), ('中心', 20), ('國泰', 19), ('客戶', 19), ('收入', 19), ('盈餘', 18), ('電子', 18), ('國家', 18), ('措施', 18), ('紀錄', 18), ('房價', 18), ('人數', 17), ('證交所', 17), ('中古屋', 17), ('機會', 16), ('布局', 16), ('狀況', 16), ('黃金', 16), ('航線', 16), ('稅後', 16), ('金控', 16), ('屋齡', 16), ('長榮', 15), ('業績', 15), ('汽車', 15), ('走勢', 14), ('權值股', 14), ('法說會', 14), ('成本', 14), ('廣達', 14), ('跌幅', 14), ('終場', 14), ('郭智輝', 14), ('政府', 14), ('金融', 14), ('區域', 14), ('台幣', 14), ('壓力', 14)]"
台股盤勢,"[('關稅', 437), ('台股', 370), ('成交量', 352), ('外資', 325), ('投信', 303), ('美國', 268), ('法人', 264), ('個股', 249), ('營收', 218), ('指數', 205), ('公司', 202), ('市場', 197), ('融資', 179), ('時報', 168), ('川普', 166), ('股價', 164), ('台積電', 156), ('自營商', 152), ('殖利率', 126), ('台灣', 117), ('中國', 115), ('金額', 110), ('融券', 109), ('台北電', 108), ('鴻海', 96), ('政策', 88), ('券資', 86), ('台北', 85), ('波段', 83), ('全球', 79), ('新聞', 78), ('方面', 73), ('來源', 71), ('中信金', 70), ('美股', 62), ('國家', 62), ('基金', 61), ('漲幅', 59), ('經濟', 59), ('交易', 59), ('總統', 56), ('籌碼', 56), ('股市', 54), ('跌幅', 53), ('成交', 53), ('國安', 52), ('庫藏股', 51), ('歷史', 50), ('金融股', 50), ('玉山金', 49), ('終場', 48), ('電子股', 46), ('聯發科', 45), ('中華電', 44), ('產業', 44), ('張數', 44), ('投資人', 43), ('交易日', 43), ('電子', 42), ('客戶', 42), ('紀錄', 41), ('權值股', 39), ('聯電', 38), ('凱基金', 38), ('永豐金', 38), ('成交值', 38), ('鉅額', 37), ('衝擊', 36), ('半導體', 36), ('類別', 36), ('銅板股', 36), ('榜首', 36), ('商銀', 36), ('資金', 35), ('族群', 35), ('傳產股', 35), ('上海', 35), ('類股', 34), ('統計', 34), ('廣達', 34), ('短線', 34), ('產品', 34), ('金融', 33), ('華邦電', 33), ('中心', 33), ('新光金', 32), ('大盤', 32), ('新高', 31), ('業績', 31), ('大陸', 30), ('影響', 30), ('業者', 30), ('股票', 29), ('美債', 29), ('工商', 28), ('金控', 27), ('措施', 27), ('信心', 27), ('總成交值', 27), ('百元股', 27)]"
國際市場,"[('美國', 742), ('關稅', 607), ('中國', 321), ('市場', 297), ('川普', 289), ('指數', 265), ('經濟', 197), ('全球', 153), ('政策', 140), ('貿易', 122), ('總統', 115), ('時報', 114), ('美股', 101), ('美元', 99), ('國家', 94), ('政府', 93), ('價格', 87), ('黃金', 86), ('股市', 83), ('國際', 79), ('公司', 77), ('日本', 74), ('產品', 73), ('漲幅', 73), ('需求', 72), ('台灣', 71), ('通膨', 70), ('大陸', 70), ('類股', 70), ('道瓊', 67), ('措施', 65), ('新聞', 61), ('台股', 61), ('來源', 59), ('企業', 59), ('外電', 58), ('投資人', 57), ('聯準會', 57), ('公債', 57), ('商品', 57), ('台北電', 53), ('蘋果', 53), ('金融', 53), ('晶片', 53), ('報告', 52), ('貿易戰', 52), ('歐盟', 52), ('歐洲', 52), ('央行', 49), ('方面', 47), ('股價', 47), ('亞洲', 43), ('成本', 42), ('工業', 42), ('資產', 42), ('白宮', 41), ('時間', 41), ('利率', 41), ('半導體', 40), ('銀行', 40), ('美債', 39), ('影響', 39), ('越南', 37), ('產業', 37), ('資金', 37), ('期貨', 37), ('殖利率', 36), ('分析師', 35), ('台積電', 35), ('風險', 35), ('營收', 35), ('印度', 34), ('問題', 34), ('計畫', 34), ('跌幅', 33), ('科技', 33), ('那斯達克', 33), ('消息', 32), ('夥伴', 32), ('日圓', 32), ('數據', 31), ('貨幣', 31), ('預期', 30), ('匯率', 30), ('台北', 29), ('壓力', 29), ('記者', 28), ('能力', 28), ('費城', 28), ('稅率', 28), ('官員', 27), ('標準', 27), ('北京', 27), ('人士', 26), ('協議', 26), ('衝擊', 26), ('前景', 26), ('特斯拉', 26), ('技術', 25), ('信心', 25)]"
研究報告,"[('市場', 503), ('台股', 430), ('美國', 417), ('基金', 282), ('關稅', 259), ('經濟', 231), ('政策', 229), ('台灣', 225), ('全球', 205), ('黃金', 177), ('來源', 173), ('產業', 171), ('時報', 170), ('科技', 168), ('投信', 163), ('企業', 162), ('新聞', 152), ('股市', 150), ('投資人', 146), ('川普', 145), ('公司', 144), ('分析師', 134), ('經理人', 133), ('中國', 130), ('資金', 130), ('風險', 128), ('台北', 126), ('指數', 121), ('債券', 114), ('需求', 109), ('布局', 108), ('投資', 102), ('美股', 100), ('資產', 100), ('趨勢', 97), ('台北電', 95), ('股息', 93), ('整體', 88), ('半導體', 88), ('股價', 87), ('規模', 85), ('機會', 83), ('股票', 82), ('影響', 75), ('利率', 75), ('政府', 71), ('法人', 67), ('價格', 67), ('金價', 67), ('應用', 67), ('高息', 66), ('收益', 65), ('日本', 65), ('建議', 64), ('殖利率', 64), ('印度', 63), ('台積電', 63), ('金融', 61), ('群益', 61), ('成本', 60), ('策略', 59), ('大陸', 58), ('配息', 58), ('聯準會', 57), ('產品', 57), ('團隊', 56), ('編者', 55), ('基本面', 55), ('技術', 55), ('行情', 54), ('美元', 52), ('通膨', 52), ('統計', 51), ('能力', 50), ('市值型', 49), ('數據', 47), ('短線', 47), ('國泰', 47), ('大盤', 47), ('動能', 46), ('商品', 45), ('領域', 44), ('歷史', 44), ('消費', 44), ('工商', 43), ('後市', 43), ('題材', 43), ('報告', 43), ('期間', 42), ('媒體', 42), ('個股', 42), ('央行', 42), ('晶片', 42), ('科技股', 41), ('類股', 41), ('記者', 40), ('資料', 40), ('總統', 39), ('銀行', 39), ('支出', 39)]"
小資理財,"[('銀行', 121), ('日本', 100), ('市場', 97), ('企業', 96), ('人才', 94), ('校園', 75), ('員工', 72), ('活動', 71), ('金融', 71), ('科技', 69), ('台積電', 61), ('公司', 60), ('消費', 58), ('計畫', 55), ('機會', 54), ('大學', 53), ('貨幣', 52), ('信用卡', 51), ('業務', 47), ('專案', 47), ('領域', 47), ('台灣', 46), ('博覽會', 45), ('全球', 43), ('海外', 43), ('產業', 42), ('利率', 39), ('定存', 39), ('美元', 39), ('薪資', 39), ('客戶', 38), ('需求', 37), ('美國', 35), ('台新', 35), ('職涯', 35), ('新聞網', 34), ('幅度', 34), ('學生', 34), ('台股', 33), ('政策', 33), ('國際', 30), ('新台幣', 30), ('卡友', 30), ('技術', 29), ('資產', 29), ('職缺', 27), ('民眾', 26), ('關稅', 26), ('資金', 26), ('資訊', 26), ('福利', 26), ('機構', 24), ('經濟', 24), ('中時', 23), ('關鍵', 23), ('臺大', 23), ('結果', 22), ('日股', 22), ('婚禮', 22), ('交易', 21), ('人數', 21), ('經驗', 21), ('國內', 21), ('人員', 21), ('職場', 21), ('台泥', 21), ('股市', 20), ('存款', 20), ('工作', 20), ('交易所', 20), ('中心', 20), ('證券', 20), ('幹部', 20), ('工會', 20), ('菁英', 20), ('川普', 19), ('主管', 19), ('期間', 19), ('政府', 19), ('年度', 19), ('凱基', 19), ('新鮮人', 19), ('總經理', 18), ('基金', 18), ('通路', 18), ('半導體', 18), ('中國', 17), ('產品', 17), ('價值', 17), ('電子', 17), ('方案', 17), ('年薪', 17), ('核心', 17), ('世代', 17), ('青年', 17), ('品牌', 16), ('網路', 16), ('專家', 16), ('學子', 16), ('布局', 16)]"
基金動態,"[('基金', 353), ('關稅', 279), ('台股', 271), ('市場', 248), ('美國', 227), ('指數', 150), ('投資人', 130), ('國安', 126), ('台灣', 112), ('川普', 111), ('全球', 108), ('風險', 98), ('股市', 94), ('政策', 93), ('投信', 85), ('經濟', 82), ('資金', 79), ('企業', 76), ('公司', 75), ('美股', 66), ('台積電', 64), ('債券', 58), ('來源', 58), ('中國', 57), ('法人', 54), ('證券', 53), ('時報', 52), ('金融', 52), ('股票', 51), ('規模', 50), ('產業', 49), ('投資', 47), ('資產', 47), ('融資', 43), ('黃金', 43), ('新聞', 42), ('跌幅', 42), ('外資', 41), ('股價', 41), ('公債', 40), ('賣壓', 40), ('野村', 39), ('台北', 39), ('銀行', 38), ('機會', 38), ('成交量', 37), ('總統', 36), ('殖利率', 35), ('日本', 35), ('臺灣', 34), ('政府', 34), ('布局', 34), ('個股', 33), ('策略', 33), ('資本', 33), ('通膨', 32), ('價格', 31), ('經理人', 31), ('收益', 30), ('權值股', 30), ('需求', 30), ('股息', 29), ('時間', 29), ('影響', 28), ('能力', 28), ('貿易', 25), ('新聞網', 25), ('專家', 25), ('信心', 25), ('台北電', 24), ('交易', 24), ('配息', 24), ('利率', 24), ('鴻海', 24), ('不確定性', 24), ('短線', 24), ('措施', 23), ('科技', 23), ('美債', 22), ('半導體', 22), ('國安基金', 22), ('終場', 22), ('報酬', 21), ('情緒', 21), ('資料', 21), ('歷史', 21), ('國泰', 21), ('價值', 20), ('整體', 20), ('金額', 20), ('優勢', 20), ('趨勢', 20), ('國家', 20), ('商品', 19), ('方面', 19), ('大型', 19), ('團隊', 19), ('標的', 19), ('記者', 19), ('績效', 19)]"
專欄,"[('市場', 370), ('美國', 233), ('台灣', 214), ('股價', 190), ('台積電', 174), ('公司', 163), ('股市', 134), ('資金', 128), ('投資人', 126), ('配息', 126), ('產業', 122), ('台股', 120), ('股票', 116), ('個股', 115), ('股息', 114), ('作者', 109), ('川普', 105), ('關稅', 103), ('指數', 101), ('全球', 99), ('市值型', 98), ('營收', 97), ('需求', 92), ('基金', 89), ('債券', 82), ('大盤', 81), ('資產', 80), ('經濟', 79), ('績效', 78), ('風險', 76), ('策略', 76), ('投信', 74), ('中國', 73), ('殖利率', 73), ('持股', 72), ('獲利', 72), ('情況', 70), ('政策', 69), ('機會', 67), ('整體', 63), ('原文', 62), ('企業', 60), ('問題', 59), ('政府', 57), ('產品', 56), ('規模', 55), ('時間', 52), ('壓力', 49), ('美股', 47), ('商品', 47), ('成本', 47), ('科技', 45), ('美債', 44), ('金融', 44), ('族群', 44), ('市值', 43), ('外資', 43), ('價格', 42), ('半導體', 41), ('集團', 41), ('走勢', 41), ('技術', 41), ('部位', 40), ('報酬率', 39), ('原因', 39), ('國內', 39), ('本益比', 39), ('國際', 38), ('配息率', 38), ('短線', 37), ('時候', 37), ('定額', 36), ('行情', 36), ('趨勢', 35), ('主力', 35), ('基本面', 35), ('美元', 34), ('投資', 34), ('通膨', 34), ('財經', 34), ('影響', 33), ('漲幅', 33), ('現金', 33), ('電子', 32), ('重點', 32), ('朋友', 31), ('技術面', 30), ('鴻海', 30), ('比重', 30), ('資本', 30), ('方式', 29), ('數據', 29), ('賣壓', 29), ('股東', 29), ('機構', 29), ('價值', 29), ('伺服器', 29), ('手機', 29), ('國家', 29), ('文章', 28)]"
全部,"[('美國', 2024), ('關稅', 1874), ('市場', 1874), ('台股', 1469), ('指數', 904), ('川普', 895), ('基金', 872), ('台灣', 871), ('公司', 798), ('中國', 754), ('全球', 740), ('政策', 722), ('經濟', 700), ('投信', 664), ('台積電', 653), ('股價', 585), ('股市', 581), ('投資人', 563), ('營收', 527), ('企業', 508), ('時報', 506), ('產業', 494), ('外資', 479), ('資金', 478), ('個股', 477), ('法人', 443), ('成交量', 441), ('美股', 418), ('風險', 401), ('需求', 394), ('來源', 380), ('科技', 363), ('黃金', 357), ('殖利率', 354), ('新聞', 352), ('股票', 339), ('金融', 328), ('台北', 320), ('資產', 319), ('銀行', 317), ('政府', 309), ('日本', 308), ('機會', 304), ('總統', 295), ('債券', 294), ('股息', 292), ('融資', 288), ('產品', 288), ('台北電', 280), ('價格', 274), ('美元', 273), ('漲幅', 261), ('國際', 260), ('半導體', 251), ('投資', 248), ('國家', 246), ('貿易', 245), ('整體', 244), ('分析師', 242), ('規模', 237), ('影響', 237), ('國安', 227), ('金額', 226), ('策略', 223), ('利率', 223), ('配息', 220), ('方面', 217), ('布局', 216), ('商品', 214), ('通膨', 207), ('鴻海', 201), ('趨勢', 199), ('大盤', 194), ('歷史', 194), ('大陸', 193), ('時間', 193), ('交易', 191), ('成本', 188), ('經理人', 185), ('跌幅', 184), ('證券', 181), ('技術', 175), ('電子', 175), ('自營商', 175), ('短線', 174), ('客戶', 174), ('類股', 170), ('措施', 169), ('美債', 167), ('市值型', 166), ('壓力', 163), ('獲利', 160), ('作者', 158), ('情況', 157), ('晶片', 157), ('新台幣', 156), ('消費', 156), ('新高', 154), ('數據', 154), ('行情', 153)]"
